                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.8845,                 1.1086,                0.88328,                0.96651,                 0.8512,                0.95283,                0.58319,                 1.7511,                 1.1569,                 0.9083,              0.0011517,              0.0011517,              0.0011517
                     51,                 1.8879,                 1.0959,                0.90315,                  0.951,                0.87182,                0.97176,                0.56426,                 1.7575,                 1.0702,                0.90705,              0.0011461,              0.0011461,              0.0011461
                     52,                 1.9063,                 1.1336,                0.91735,                0.91937,                 0.9224,                  0.994,                 0.4337,                 1.8302,                 1.0168,                0.93001,              0.0011404,              0.0011404,              0.0011404
                     53,                 1.9933,                 1.1787,                0.93701,                0.77883,                0.80692,                0.87073,                0.40273,                  1.849,                0.97808,                 0.9242,              0.0011347,              0.0011347,              0.0011347
                     54,                 1.8669,                 1.1092,                0.90492,                0.84554,                 0.6867,                0.83217,                0.42308,                  1.835,                 1.2528,                0.91225,              0.0011291,              0.0011291,              0.0011291
                     55,                 1.8595,                 1.0774,                0.89835,                0.84711,                0.69527,                0.85363,                0.44079,                  1.895,                 1.0835,                0.91141,              0.0011234,              0.0011234,              0.0011234
                     56,                 1.9643,                 1.0783,                0.91971,                0.83336,                  0.758,                0.84048,                 0.4473,                 1.7826,                0.99341,                0.90365,              0.0011178,              0.0011178,              0.0011178
                     57,                 1.8116,                  1.121,                0.86601,                0.76689,                0.74728,                0.79296,                0.39953,                 2.0407,                 1.0999,                 0.9361,              0.0011121,              0.0011121,              0.0011121
                     58,                 1.9148,                 1.0599,                0.92478,                0.81657,                0.76941,                0.86841,                0.39482,                 1.8666,                 1.0826,                0.91329,              0.0011064,              0.0011064,              0.0011064
                     59,                 1.8489,                 1.0685,                0.89944,                0.96835,                0.89898,                0.98354,                 0.5238,                 1.7604,                 1.0397,                0.88772,              0.0011008,              0.0011008,              0.0011008
